code,state,year,count
AL,Alabama,2006,934434
AL,Alabama,2007,583833
AL,Alabama,2008,678
AL,Alabama,2009,587261
AL,Alabama,2010,648655
AL,Alabama,2011,730904
AL,Alabama,2012,1350342
AL,Alabama,2013,214855
AL,Alabama,2014,634713
AL,Alabama,2015,642885
AL,Alabama,2016,139870
AK,Alaska,2006,222455
AK,Alaska,2007,124022
AK,Alaska,2008,3515
AK,Alaska,2009,127020
AK,Alaska,2010,147992
AK,Alaska,2011,147617
AK,Alaska,2012,291305
AK,Alaska,2013,52000
AK,Alaska,2014,151796
AK,Alaska,2015,106649
AK,Alaska,2016,25688
AZ,Arizona,2006,1017171
AZ,Arizona,2007,515515
AZ,Arizona,2008,6691
AZ,Arizona,2009,524955
AZ,Arizona,2010,582452
AZ,Arizona,2011,647812
AZ,Arizona,2012,1344168
AZ,Arizona,2013,334271
AZ,Arizona,2014,889393
AZ,Arizona,2015,757301
AZ,Arizona,2016,205851
AR,Arkansas,2006,448090
AR,Arkansas,2007,394329
AR,Arkansas,2008,13275
AR,Arkansas,2009,378022
AR,Arkansas,2010,319705
AR,Arkansas,2011,441153
AR,Arkansas,2012,851811
AR,Arkansas,2013,147937
AR,Arkansas,2014,440965
AR,Arkansas,2015,362784
AR,Arkansas,2016,96937
CA,California,2006,6899294
CA,California,2007,3889266
CA,California,2008,62010
CA,California,2009,3819254
CA,California,2010,3657784
CA,California,2011,3942777
CA,California,2012,7914848
CA,California,2013,1397085
CA,California,2014,4257921
CA,California,2015,4786307
CA,California,2016,1247455
CO,Colorado,2006,404936
CO,Colorado,2007,254409
CO,Colorado,2008,4277
CO,Colorado,2009,420837
CO,Colorado,2010,473241
CO,Colorado,2011,635617
CO,Colorado,2012,1044639
CO,Colorado,2013,208760
CO,Colorado,2014,581977
CO,Colorado,2015,656500
CO,Colorado,2016,154338
CT,Connecticut,2006,477542
CT,Connecticut,2007,286942
CT,Connecticut,2008,9150
CT,Connecticut,2009,313332
CT,Connecticut,2010,236433
CT,Connecticut,2011,246716
CT,Connecticut,2012,572824
CT,Connecticut,2013,114116
CT,Connecticut,2014,338966
CT,Connecticut,2015,321348
CT,Connecticut,2016,67605
DE,Delaware,2006,190097
DE,Delaware,2007,104419
DE,Delaware,2008,3832
DE,Delaware,2009,131472
DE,Delaware,2010,119553
DE,Delaware,2011,119574
DE,Delaware,2012,245675
DE,Delaware,2013,41250
DE,Delaware,2014,118050
DE,Delaware,2015,179032
DE,Delaware,2016,37054
FL,Florida,2006,2590792
FL,Florida,2007,1913589
FL,Florida,2008,55133
FL,Florida,2009,1941265
FL,Florida,2010,1959420
FL,Florida,2011,2022419
FL,Florida,2012,4123068
FL,Florida,2013,793936
FL,Florida,2014,2273513
FL,Florida,2015,2312338
FL,Florida,2016,617019
GA,Georgia,2006,1339349
GA,Georgia,2007,358694
GA,Georgia,2008,224
GA,Georgia,2009,702592
GA,Georgia,2010,469422
GA,Georgia,2011,1308025
GA,Georgia,2012,2600133
GA,Georgia,2013,467195
GA,Georgia,2014,1305945
GA,Georgia,2015,1444297
GA,Georgia,2016,289126
HI,Hawaii,2006,263646
HI,Hawaii,2007,140507
HI,Hawaii,2008,187
HI,Hawaii,2009,148043
HI,Hawaii,2010,142245
HI,Hawaii,2011,124430
HI,Hawaii,2012,271479
HI,Hawaii,2013,49848
HI,Hawaii,2014,152414
HI,Hawaii,2015,157518
HI,Hawaii,2016,30756
ID,Idaho,2006,156083
ID,Idaho,2007,101784
ID,Idaho,2008,2577
ID,Idaho,2009,94562
ID,Idaho,2010,90748
ID,Idaho,2011,94897
ID,Idaho,2012,230706
ID,Idaho,2013,38817
ID,Idaho,2014,111142
ID,Idaho,2015,140222
ID,Idaho,2016,41796
IL,Illinois,2006,2531296
IL,Illinois,2007,1257828
IL,Illinois,2008,182
IL,Illinois,2009,1272643
IL,Illinois,2010,756434
IL,Illinois,2011,1215061
IL,Illinois,2012,2481843
IL,Illinois,2013,329842
IL,Illinois,2014,1133446
IL,Illinois,2015,1342130
IL,Illinois,2016,251334
IN,Indiana,2006,1049380
IN,Indiana,2007,560079
IN,Indiana,2008,12185
IN,Indiana,2009,598237
IN,Indiana,2010,431915
IN,Indiana,2011,706834
IN,Indiana,2012,1451690
IN,Indiana,2013,252090
IN,Indiana,2014,753598
IN,Indiana,2015,741482
IN,Indiana,2016,215711
IA,Iowa,2006,439352
IA,Iowa,2007,238402
IA,Iowa,2008,4402
IA,Iowa,2009,252410
IA,Iowa,2010,254309
IA,Iowa,2011,273677
IA,Iowa,2012,517195
IA,Iowa,2013,93109
IA,Iowa,2014,296206
IA,Iowa,2015,299634
IA,Iowa,2016,79428
KS,Kansas,2006,408603
KS,Kansas,2007,247979
KS,Kansas,2008,8486
KS,Kansas,2009,243014
KS,Kansas,2010,240323
KS,Kansas,2011,261183
KS,Kansas,2012,468770
KS,Kansas,2013,89716
KS,Kansas,2014,280172
KS,Kansas,2015,302472
KS,Kansas,2016,74672
KY,Kentucky,2006,448426
KY,Kentucky,2007,325667
KY,Kentucky,2008,10855
KY,Kentucky,2009,344368
KY,Kentucky,2010,398205
KY,Kentucky,2011,426294
KY,Kentucky,2012,917443
KY,Kentucky,2013,166861
KY,Kentucky,2014,468000
KY,Kentucky,2015,391852
KY,Kentucky,2016,87590
LA,Louisiana,2006,810748
LA,Louisiana,2007,504598
LA,Louisiana,2008,7167
LA,Louisiana,2009,571539
LA,Louisiana,2010,291698
LA,Louisiana,2011,542354
LA,Louisiana,2012,1033302
LA,Louisiana,2013,113823
LA,Louisiana,2014,428138
LA,Louisiana,2015,599335
LA,Louisiana,2016,207672
ME,Maine,2006,125115
ME,Maine,2007,69811
ME,Maine,2008,1481
ME,Maine,2009,66863
ME,Maine,2010,64072
ME,Maine,2011,77257
ME,Maine,2012,149510
ME,Maine,2013,24647
ME,Maine,2014,80291
ME,Maine,2015,100194
ME,Maine,2016,20286
MD,Maryland,2006,998168
MD,Maryland,2007,628540
MD,Maryland,2008,15287
MD,Maryland,2009,568674
MD,Maryland,2010,588851
MD,Maryland,2011,605061
MD,Maryland,2012,1174206
MD,Maryland,2013,198350
MD,Maryland,2014,636668
MD,Maryland,2015,597426
MD,Maryland,2016,161654
MA,Massachusetts,2006,829388
MA,Massachusetts,2007,494344
MA,Massachusetts,2008,17044
MA,Massachusetts,2009,538499
MA,Massachusetts,2010,553121
MA,Massachusetts,2011,612427
MA,Massachusetts,2012,1244563
MA,Massachusetts,2013,187371
MA,Massachusetts,2014,519269
MA,Massachusetts,2015,575891
MA,Massachusetts,2016,153178
MI,Michigan,2006,1914556
MI,Michigan,2007,1219472
MI,Michigan,2008,26785
MI,Michigan,2009,1231117
MI,Michigan,2010,1315841
MI,Michigan,2011,1286850
MI,Michigan,2012,2253579
MI,Michigan,2013,380760
MI,Michigan,2014,1145738
MI,Michigan,2015,1185194
MI,Michigan,2016,293818
MN,Minnesota,2006,547275
MN,Minnesota,2007,337036
MN,Minnesota,2008,48
MN,Minnesota,2009,309411
MN,Minnesota,2010,333366
MN,Minnesota,2011,321647
MN,Minnesota,2012,611729
MN,Minnesota,2013,96628
MN,Minnesota,2014,381266
MN,Minnesota,2015,424357
MN,Minnesota,2016,105594
MS,Mississippi,2006,1009628
MS,Mississippi,2007,522032
MS,Mississippi,2008,9833
MS,Mississippi,2009,642419
MS,Mississippi,2010,494314
MS,Mississippi,2011,541421
MS,Mississippi,2012,1091465
MS,Mississippi,2013,166707
MS,Mississippi,2014,583065
MS,Mississippi,2015,225988
MS,Mississippi,2016,99176
MO,Missouri,2006,1159068
MO,Missouri,2007,660917
MO,Missouri,2008,11754
MO,Missouri,2009,688315
MO,Missouri,2010,664330
MO,Missouri,2011,717726
MO,Missouri,2012,1091243
MO,Missouri,2013,238222
MO,Missouri,2014,729118
MO,Missouri,2015,730618
MO,Missouri,2016,194876
MT,Montana,2006,117367
MT,Montana,2007,78237
MT,Montana,2008,721
MT,Montana,2009,78431
MT,Montana,2010,79108
MT,Montana,2011,89725
MT,Montana,2012,200587
MT,Montana,2013,38831
MT,Montana,2014,111213
MT,Montana,2015,109275
MT,Montana,2016,32399
NE,Nebraska,2006,258819
NE,Nebraska,2007,123365
NE,Nebraska,2008,2024
NE,Nebraska,2009,133911
NE,Nebraska,2010,129090
NE,Nebraska,2011,161264
NE,Nebraska,2012,294100
NE,Nebraska,2013,70330
NE,Nebraska,2014,191816
NE,Nebraska,2015,211076
NE,Nebraska,2016,53592
NV,Nevada,2006,346547
NV,Nevada,2007,242490
NV,Nevada,2008,3931
NV,Nevada,2009,267584
NV,Nevada,2010,254555
NV,Nevada,2011,286871
NV,Nevada,2012,548305
NV,Nevada,2013,103272
NV,Nevada,2014,298370
NV,Nevada,2015,221066
NV,Nevada,2016,50127
NH,New Hampshire,2006,104008
NH,New Hampshire,2007,57746
NH,New Hampshire,2008,1268
NH,New Hampshire,2009,39297
NH,New Hampshire,2010,56175
NH,New Hampshire,2011,74717
NH,New Hampshire,2012,149322
NH,New Hampshire,2013,6709
NH,New Hampshire,2014,37803
NH,New Hampshire,2015,38374
NH,New Hampshire,2016,44995
NJ,New Jersey,2006,925139
NJ,New Jersey,2007,518784
NJ,New Jersey,2008,7170
NJ,New Jersey,2009,542604
NJ,New Jersey,2010,646065
NJ,New Jersey,2011,711873
NJ,New Jersey,2012,1428031
NJ,New Jersey,2013,259893
