code,state,year,count
AL,Alabama,2006,415212
AL,Alabama,2007,232854
AL,Alabama,2008,301
AL,Alabama,2009,168913
AL,Alabama,2010,190089
AL,Alabama,2011,222338
AL,Alabama,2012,389109
AL,Alabama,2013,55690
AL,Alabama,2014,158133
AL,Alabama,2015,172821
AL,Alabama,2016,158545
AL,Alabama,2017,238605
AK,Alaska,2006,26508
AK,Alaska,2007,13740
AK,Alaska,2008,382
AK,Alaska,2009,21301
AK,Alaska,2010,32526
AK,Alaska,2011,25292
AK,Alaska,2012,42969
AK,Alaska,2013,11681
AK,Alaska,2014,33079
AK,Alaska,2015,20003
AK,Alaska,2016,28664
AK,Alaska,2017,38762
AZ,Arizona,2006,232354
AZ,Arizona,2007,76735
AZ,Arizona,2008,1087
AZ,Arizona,2009,62051
AZ,Arizona,2010,68801
AZ,Arizona,2011,98393
AZ,Arizona,2012,259337
AZ,Arizona,2013,70422
AZ,Arizona,2014,194974
AZ,Arizona,2015,182802
AZ,Arizona,2016,239580
AZ,Arizona,2017,290197
AR,Arkansas,2006,217157
AR,Arkansas,2007,127129
AR,Arkansas,2008,4162
AR,Arkansas,2009,114860
AR,Arkansas,2010,96192
AR,Arkansas,2011,131774
AR,Arkansas,2012,218607
AR,Arkansas,2013,42877
AR,Arkansas,2014,120151
AR,Arkansas,2015,104348
AR,Arkansas,2016,129223
AR,Arkansas,2017,115745
CA,California,2006,1663925
CA,California,2007,702936
CA,California,2008,11652
CA,California,2009,641955
CA,California,2010,683737
CA,California,2011,683285
CA,California,2012,1741476
CA,California,2013,372016
CA,California,2014,1075485
CA,California,2015,1368921
CA,California,2016,1612899
CA,California,2017,1861427
CO,Colorado,2006,112917
CO,Colorado,2007,75335
CO,Colorado,2008,1612
CO,Colorado,2009,60993
CO,Colorado,2010,66946
CO,Colorado,2011,59567
CO,Colorado,2012,130933
CO,Colorado,2013,28625
CO,Colorado,2014,76808
CO,Colorado,2015,108441
CO,Colorado,2016,146565
CO,Colorado,2017,192822
CT,Connecticut,2006,104333
CT,Connecticut,2007,64248
CT,Connecticut,2008,2078
CT,Connecticut,2009,62611
CT,Connecticut,2010,56936
CT,Connecticut,2011,57038
CT,Connecticut,2012,112985
CT,Connecticut,2013,21025
CT,Connecticut,2014,57096
CT,Connecticut,2015,49762
CT,Connecticut,2016,58280
CT,Connecticut,2017,73378
DE,Delaware,2006,75275
DE,Delaware,2007,31622
DE,Delaware,2008,1031
DE,Delaware,2009,25593
DE,Delaware,2010,27166
DE,Delaware,2011,23324
DE,Delaware,2012,57228
DE,Delaware,2013,12416
DE,Delaware,2014,33299
DE,Delaware,2015,47299
DE,Delaware,2016,43823
DE,Delaware,2017,47799
FL,Florida,2006,1132947
FL,Florida,2007,649342
FL,Florida,2008,18379
FL,Florida,2009,561852
FL,Florida,2010,529353
FL,Florida,2011,519471
FL,Florida,2012,1036766
FL,Florida,2013,202048
FL,Florida,2014,547135
FL,Florida,2015,583184
FL,Florida,2016,681080
FL,Florida,2017,804773
GA,Georgia,2006,592172
GA,Georgia,2007,136867
GA,Georgia,2008,107
GA,Georgia,2009,237014
GA,Georgia,2010,160989
GA,Georgia,2011,396033
GA,Georgia,2012,735133
GA,Georgia,2013,119721
GA,Georgia,2014,327662
GA,Georgia,2015,390985
GA,Georgia,2016,355122
GA,Georgia,2017,483007
HI,Hawaii,2006,38664
HI,Hawaii,2007,15108
HI,Hawaii,2008,56
HI,Hawaii,2009,15738
HI,Hawaii,2010,17610
HI,Hawaii,2011,15911
HI,Hawaii,2012,31502
HI,Hawaii,2013,6065
HI,Hawaii,2014,19912
HI,Hawaii,2015,29427
HI,Hawaii,2016,29834
HI,Hawaii,2017,32543
ID,Idaho,2006,10049
ID,Idaho,2007,4560
ID,Idaho,2008,113
ID,Idaho,2009,2598
ID,Idaho,2010,2677
ID,Idaho,2011,3275
ID,Idaho,2012,5668
ID,Idaho,2013,1734
ID,Idaho,2014,5282
ID,Idaho,2015,9123
ID,Idaho,2016,14624
ID,Idaho,2017,22786
IL,Illinois,2006,930712
IL,Illinois,2007,422472
IL,Illinois,2008,71
IL,Illinois,2009,391731
IL,Illinois,2010,176938
IL,Illinois,2011,307178
IL,Illinois,2012,611575
IL,Illinois,2013,68732
IL,Illinois,2014,231024
IL,Illinois,2015,295797
IL,Illinois,2016,300322
IL,Illinois,2017,342314
IN,Indiana,2006,445350
IN,Indiana,2007,227336
IN,Indiana,2008,4863
IN,Indiana,2009,195180
IN,Indiana,2010,121930
IN,Indiana,2011,174678
IN,Indiana,2012,360293
IN,Indiana,2013,62799
IN,Indiana,2014,182666
IN,Indiana,2015,192800
IN,Indiana,2016,244055
IN,Indiana,2017,293099
IA,Iowa,2006,92693
IA,Iowa,2007,39713
IA,Iowa,2008,533
IA,Iowa,2009,41133
IA,Iowa,2010,41891
IA,Iowa,2011,48889
IA,Iowa,2012,81669
IA,Iowa,2013,11585
IA,Iowa,2014,37072
IA,Iowa,2015,51740
IA,Iowa,2016,63195
IA,Iowa,2017,83103
KS,Kansas,2006,115809
KS,Kansas,2007,61331
KS,Kansas,2008,2158
KS,Kansas,2009,59563
KS,Kansas,2010,48449
KS,Kansas,2011,51172
KS,Kansas,2012,90243
KS,Kansas,2013,20703
KS,Kansas,2014,63191
KS,Kansas,2015,64876
KS,Kansas,2016,78144
KS,Kansas,2017,111476
KY,Kentucky,2006,163327
KY,Kentucky,2007,125438
KY,Kentucky,2008,4062
KY,Kentucky,2009,100158
KY,Kentucky,2010,103305
KY,Kentucky,2011,115298
KY,Kentucky,2012,230095
KY,Kentucky,2013,39377
KY,Kentucky,2014,107460
KY,Kentucky,2015,100741
KY,Kentucky,2016,125492
KY,Kentucky,2017,187095
LA,Louisiana,2006,481602
LA,Louisiana,2007,225263
LA,Louisiana,2008,3132
LA,Louisiana,2009,184445
LA,Louisiana,2010,86889
LA,Louisiana,2011,153502
LA,Louisiana,2012,311393
LA,Louisiana,2013,31989
LA,Louisiana,2014,120496
LA,Louisiana,2015,180004
LA,Louisiana,2016,276421
LA,Louisiana,2017,340531
ME,Maine,2006,6369
ME,Maine,2007,2593
ME,Maine,2008,57
ME,Maine,2009,3753
ME,Maine,2010,4822
ME,Maine,2011,5413
ME,Maine,2012,16004
ME,Maine,2013,1968
ME,Maine,2014,5644
ME,Maine,2015,7437
ME,Maine,2016,8879
ME,Maine,2017,10185
MD,Maryland,2006,338085
MD,Maryland,2007,170077
MD,Maryland,2008,3971
MD,Maryland,2009,152411
MD,Maryland,2010,169397
MD,Maryland,2011,147646
MD,Maryland,2012,256099
MD,Maryland,2013,43264
MD,Maryland,2014,131165
MD,Maryland,2015,145217
MD,Maryland,2016,200105
MD,Maryland,2017,222762
MA,Massachusetts,2006,137347
MA,Massachusetts,2007,63245
MA,Massachusetts,2008,2065
MA,Massachusetts,2009,55390
MA,Massachusetts,2010,61635
MA,Massachusetts,2011,63535
MA,Massachusetts,2012,145025
MA,Massachusetts,2013,31247
MA,Massachusetts,2014,87596
MA,Massachusetts,2015,91124
MA,Massachusetts,2016,114238
MA,Massachusetts,2017,168667
MI,Michigan,2006,807811
MI,Michigan,2007,459782
MI,Michigan,2008,10551
MI,Michigan,2009,401452
MI,Michigan,2010,367317
MI,Michigan,2011,330862
MI,Michigan,2012,562118
MI,Michigan,2013,86205
MI,Michigan,2014,242414
MI,Michigan,2015,267406
MI,Michigan,2016,298826
MI,Michigan,2017,305101
MN,Minnesota,2006,140094
MN,Minnesota,2007,76285
MN,Minnesota,2008,46
MN,Minnesota,2009,50802
MN,Minnesota,2010,47562
MN,Minnesota,2011,43638
MN,Minnesota,2012,112379
MN,Minnesota,2013,24943
MN,Minnesota,2014,82861
MN,Minnesota,2015,91987
MN,Minnesota,2016,118325
MN,Minnesota,2017,153773
MS,Mississippi,2006,379522
MS,Mississippi,2007,190524
MS,Mississippi,2008,3494
MS,Mississippi,2009,199500
MS,Mississippi,2010,139833
MS,Mississippi,2011,145896
MS,Mississippi,2012,316615
MS,Mississippi,2013,46672
MS,Mississippi,2014,158107
MS,Mississippi,2015,76017
MS,Mississippi,2016,143504
MS,Mississippi,2017,188524
MO,Missouri,2006,507026
MO,Missouri,2007,216790
MO,Missouri,2008,3604
MO,Missouri,2009,173933
MO,Missouri,2010,173551
MO,Missouri,2011,194911
MO,Missouri,2012,302100
MO,Missouri,2013,62789
MO,Missouri,2014,183922
MO,Missouri,2015,232799
MO,Missouri,2016,296091
MO,Missouri,2017,343498
MT,Montana,2006,6631
MT,Montana,2007,2759
MT,Montana,2008,31
MT,Montana,2009,2049
MT,Montana,2010,2910
MT,Montana,2011,2135
MT,Montana,2012,7499
MT,Montana,2013,2978
MT,Montana,2014,9110
MT,Montana,2015,20878
MT,Montana,2016,25111
MT,Montana,2017,15109
NE,Nebraska,2006,67476
NE,Nebraska,2007,35722
NE,Nebraska,2008,594
NE,Nebraska,2009,35779
NE,Nebraska,2010,29827
NE,Nebraska,2011,32548
NE,Nebraska,2012,58741
NE,Nebraska,2013,11890
NE,Nebraska,2014,32874
NE,Nebraska,2015,40752
NE,Nebraska,2016,54137
NE,Nebraska,2017,64922
NV,Nevada,2006,95721
NV,Nevada,2007,58719
NV,Nevada,2008,912
NV,Nevada,2009,47739
NV,Nevada,2010,45350
NV,Nevada,2011,54704
NV,Nevada,2012,113340
NV,Nevada,2013,24494
NV,Nevada,2014,72480
NV,Nevada,2015,63253
NV,Nevada,2016,73856
NV,Nevada,2017,109588
NH,New Hampshire,2006,9478
NH,New Hampshire,2007,3055
NH,New Hampshire,2008,83
NH,New Hampshire,2009,2876
NH,New Hampshire,2010,4112
NH,New Hampshire,2011,3460
NH,New Hampshire,2012,6843
NH,New Hampshire,2013,1475
NH,New Hampshire,2014,4905
NH,New Hampshire,2015,5141
NH,New Hampshire,2016,15491
NH,New Hampshire,2017,13818
NJ,New Jersey,2006,266180
NJ,New Jersey,2007,140153
NJ,New Jersey,2008,2387
NJ,New Jersey,2009,112426
NJ,New Jersey,2010,140648
NJ,New Jersey,2011,189277
NJ,New Jersey,2012,368389
NJ,New Jersey,2013,57227
NJ,New Jersey,2014,165157
NJ,New Jersey,2015,175733
NJ,New Jersey,2016,204156
NJ,New Jersey,2017,227760
NM,New Mexico,2006,80174
NM,New Mexico,2007,32285
NM,New Mexico,2008,102
NM,New Mexico,2009,28029
NM,New Mexico,2010,25091
NM,New Mexico,2011,42434
NM,New Mexico,2012,83820
NM,New Mexico,2013,15209
NM,New Mexico,2014,49219
NM,New Mexico,2015,56726
NM,New Mexico,2016,77374
NM,New Mexico,2017,102334
NY,New York,2013,7
NY,New York,2014,160249
NY,New York,2015,226110
NY,New York,2016,246402
NY,New York,2017,274508
NC,North Carolina,2006,819004
NC,North Carolina,2007,160679
NC,North Carolina,2008,2550
NC,North Carolina,2010,254847
NC,North Carolina,2011,430230
NC,North Carolina,2012,717415
NC,North Carolina,2013,152976
NC,North Carolina,2014,399379
NC,North Carolina,2015,521202
NC,North Carolina,2016,291052
NC,North Carolina,2017,296754
ND,North Dakota,2006,4907
ND,North Dakota,2007,2659
ND,North Dakota,2008,8
ND,North Dakota,2009,1889
ND,North Dakota,2010,2982
ND,North Dakota,2011,4173
ND,North Dakota,2012,15056
ND,North Dakota,2013,4493
ND,North Dakota,2014,13667
ND,North Dakota,2015,14439
ND,North Dakota,2016,21948
ND,North Dakota,2017,19586
OH,Ohio,2006,857524
OH,Ohio,2007,400041
OH,Ohio,2008,998
OH,Ohio,2009,242811
OH,Ohio,2010,372273
OH,Ohio,2011,402820
OH,Ohio,2012,795381
OH,Ohio,2013,139710
OH,Ohio,2014,401953
OH,Ohio,2015,399071
OH,Ohio,2016,463155
OH,Ohio,2017,559797
OK,Oklahoma,2006,246530
OK,Oklahoma,2007,108132
OK,Oklahoma,2008,2437
OK,Oklahoma,2009,116319
OK,Oklahoma,2010,120851
OK,Oklahoma,2011,93779
OK,Oklahoma,2012,148340
OK,Oklahoma,2013,23230
OK,Oklahoma,2014,93106
OK,Oklahoma,2015,113800
OK,Oklahoma,2016,130849
OK,Oklahoma,2017,173623
OR,Oregon,2006,63274
OR,Oregon,2007,35271
OR,Oregon,2008,976
OR,Oregon,2009,27786
OR,Oregon,2010,16018
OR,Oregon,2011,34748
OR,Oregon,2012,82609
OR,Oregon,2013,19947
OR,Oregon,2014,58715
OR,Oregon,2015,81834
OR,Oregon,2016,109429
OR,Oregon,2017,131887
PA,Pennsylvania,2006,672778
PA,Pennsylvania,2007,306933
PA,Pennsylvania,2008,6428
PA,Pennsylvania,2009,257252
PA,Pennsylvania,2010,317815
PA,Pennsylvania,2011,351761
PA,Pennsylvania,2012,810187
PA,Pennsylvania,2013,127427
PA,Pennsylvania,2014,337976
PA,Pennsylvania,2015,327287
PA,Pennsylvania,2016,395823
PA,Pennsylvania,2017,474768
RI,Rhode Island,2006,24475
RI,Rhode Island,2007,9346
RI,Rhode Island,2008,234
RI,Rhode Island,2009,8956
RI,Rhode Island,2010,7486
RI,Rhode Island,2011,8831
RI,Rhode Island,2012,23108
RI,Rhode Island,2013,4102
RI,Rhode Island,2014,12426
RI,Rhode Island,2015,13097
RI,Rhode Island,2016,12722
RI,Rhode Island,2017,21702
SC,South Carolina,2006,551187
SC,South Carolina,2007,273086
SC,South Carolina,2008,8496
SC,South Carolina,2009,206008
SC,South Carolina,2010,223656
SC,South Carolina,2011,220101
SC,South Carolina,2012,392937
SC,South Carolina,2013,77530
SC,South Carolina,2014,211753
SC,South Carolina,2015,217829
SC,South Carolina,2016,246870
SC,South Carolina,2017,318754
SD,South Dakota,2006,16591
SD,South Dakota,2007,8671
SD,South Dakota,2008,271
SD,South Dakota,2009,9310
SD,South Dakota,2010,7244
SD,South Dakota,2011,13857
SD,South Dakota,2012,30801
SD,South Dakota,2013,4560
SD,South Dakota,2014,13897
SD,South Dakota,2015,19800
SD,South Dakota,2016,24943
SD,South Dakota,2017,23960
TN,Tennessee,2006,511148
TN,Tennessee,2007,246830
TN,Tennessee,2008,8107
TN,Tennessee,2009,225652
TN,Tennessee,2010,189786
TN,Tennessee,2011,191782
TN,Tennessee,2012,418555
TN,Tennessee,2013,54504
TN,Tennessee,2014,167751
TN,Tennessee,2015,173133
TN,Tennessee,2016,225918
TN,Tennessee,2017,282907
TX,Texas,2006,1477515
TX,Texas,2007,861266
TX,Texas,2008,9954
TX,Texas,2009,709877
TX,Texas,2010,758763
TX,Texas,2011,792667
TX,Texas,2012,1662523
TX,Texas,2013,284560
TX,Texas,2014,827545
TX,Texas,2015,1026156
TX,Texas,2016,1137570
TX,Texas,2017,1229931
UT,Utah,2006,40590
UT,Utah,2007,14147
UT,Utah,2008,301
UT,Utah,2009,5301
UT,Utah,2010,7756
UT,Utah,2011,6204
UT,Utah,2012,27774
UT,Utah,2013,10735
UT,Utah,2014,33326
UT,Utah,2015,35574
UT,Utah,2016,53871
UT,Utah,2017,64743
VT,Vermont,2006,3151
VT,Vermont,2007,741
VT,Vermont,2008,24
VT,Vermont,2009,1309
VT,Vermont,2010,1531
VT,Vermont,2011,1285
VT,Vermont,2012,4964
VT,Vermont,2013,541
VT,Vermont,2014,1705
VT,Vermont,2015,3045
VT,Vermont,2016,3294
VT,Vermont,2017,3157
VA,Virginia,2006,325311
VA,Virginia,2007,275479
VA,Virginia,2008,8447
VA,Virginia,2009,195629
VA,Virginia,2010,216316
VA,Virginia,2011,161356
VA,Virginia,2012,362338
VA,Virginia,2013,75272
VA,Virginia,2014,215427
VA,Virginia,2015,224855
VA,Virginia,2016,263884
VA,Virginia,2017,230184
WA,Washington,2006,190966
WA,Washington,2007,47681
WA,Washington,2008,554
WA,Washington,2009,56937
WA,Washington,2010,67962
WA,Washington,2011,72025
WA,Washington,2012,180635
WA,Washington,2013,38367
WA,Washington,2014,110755
WA,Washington,2015,153530
WA,Washington,2016,177333
WA,Washington,2017,191426
WV,West Virginia,2006,46988
WV,West Virginia,2007,19775
WV,West Virginia,2008,124
WV,West Virginia,2009,13779
WV,West Virginia,2010,13923
WV,West Virginia,2011,22516
WV,West Virginia,2012,47327
WV,West Virginia,2013,8344
WV,West Virginia,2014,22111
WV,West Virginia,2015,17912
WV,West Virginia,2016,21470
WV,West Virginia,2017,35084
WI,Wisconsin,2006,331499
WI,Wisconsin,2007,133397
WI,Wisconsin,2008,1734
