code,state,year,count
AL,Alabama,1920,4015
AL,Alabama,1921,77
AL,Alabama,1922,150
AL,Alabama,1923,977
AL,Alabama,1924,338
AL,Alabama,1925,750
AL,Alabama,1926,1625
AL,Alabama,1927,1026
AL,Alabama,1928,42066
AL,Alabama,1929,54953
AL,Alabama,1930,3544
AL,Alabama,1931,6745
AL,Alabama,1932,34886
AL,Alabama,1933,7537
AL,Alabama,1934,4115
AL,Alabama,1935,14888
AL,Alabama,1936,21472
AL,Alabama,1937,19335
AL,Alabama,1938,5066
AL,Alabama,1939,19999
AL,Alabama,1940,12827
AL,Alabama,1941,34997
AL,Alabama,1942,7840
AL,Alabama,1943,15797
AL,Alabama,1944,17226
AL,Alabama,1945,9922
AL,Alabama,1946,9214
AL,Alabama,1947,10914
AL,Alabama,1948,7203
AL,Alabama,1949,3033
AL,Alabama,1950,7389
AK,Alaska,1950,20
AZ,Arizona,1920,14
AZ,Arizona,1921,4
AZ,Arizona,1922,2
AZ,Arizona,1923,1
AZ,Arizona,1924,0
AZ,Arizona,1925,26
AZ,Arizona,1926,17
AZ,Arizona,1927,4
AZ,Arizona,1928,4755
AZ,Arizona,1929,231
AZ,Arizona,1930,342
AZ,Arizona,1931,467
AZ,Arizona,1932,2741
AZ,Arizona,1933,432
AZ,Arizona,1934,622
AZ,Arizona,1935,1892
AZ,Arizona,1936,3825
AZ,Arizona,1937,6900
AZ,Arizona,1938,3273
AZ,Arizona,1939,4564
AZ,Arizona,1940,11105
AZ,Arizona,1941,7299
AZ,Arizona,1942,4082
AZ,Arizona,1943,7431
AZ,Arizona,1944,5678
AZ,Arizona,1945,7730
AZ,Arizona,1946,4691
AZ,Arizona,1947,4136
AZ,Arizona,1948,11276
AZ,Arizona,1949,3938
AZ,Arizona,1950,6234
AR,Arkansas,1920,3564
AR,Arkansas,1921,23
AR,Arkansas,1922,230
AR,Arkansas,1923,1269
AR,Arkansas,1924,25
AR,Arkansas,1925,145
AR,Arkansas,1926,90
AR,Arkansas,1927,431
AR,Arkansas,1928,17580
AR,Arkansas,1929,16027
AR,Arkansas,1930,2425
AR,Arkansas,1931,3529
AR,Arkansas,1932,28988
AR,Arkansas,1933,14785
AR,Arkansas,1934,1263
AR,Arkansas,1935,2046
AR,Arkansas,1936,7072
AR,Arkansas,1937,8481
AR,Arkansas,1938,3824
AR,Arkansas,1939,9227
AR,Arkansas,1940,28085
AR,Arkansas,1941,20288
AR,Arkansas,1942,4906
AR,Arkansas,1943,15286
AR,Arkansas,1944,13930
AR,Arkansas,1945,9129
AR,Arkansas,1946,4985
AR,Arkansas,1947,25753
AR,Arkansas,1948,7568
AR,Arkansas,1949,4510
AR,Arkansas,1950,17651
CA,California,1920,23894
CA,California,1921,662
CA,California,1922,18269
CA,California,1923,2637
CA,California,1924,494
CA,California,1925,1018
CA,California,1926,1505
CA,California,1927,1111
CA,California,1928,65854
CA,California,1929,6461
CA,California,1930,2781
CA,California,1931,9994
CA,California,1932,22779
CA,California,1933,7752
CA,California,1934,2478
CA,California,1935,6614
CA,California,1936,25536
CA,California,1937,52250
CA,California,1938,2919
CA,California,1939,3831
CA,California,1940,72816
CA,California,1941,21387
CA,California,1942,4864
CA,California,1943,15313
CA,California,1944,12460
CA,California,1945,2595
CA,California,1946,4820
CA,California,1947,1598
CA,California,1948,13937
