code,state,year,count
AL,Alabama,1960,2075
AL,Alabama,1961,2724
AL,Alabama,1962,2254
AL,Alabama,1963,1167
AL,Alabama,1964,18105
AL,Alabama,1965,95738
AL,Alabama,1966,65198
AL,Alabama,1967,56599
AL,Alabama,1968,324
AL,Alabama,1969,12
AK,Alaska,1960,1456
AK,Alaska,1961,1002
AK,Alaska,1962,1406
AK,Alaska,1963,1968
AK,Alaska,1964,1038
AK,Alaska,1965,7095
AK,Alaska,1966,14630
AK,Alaska,1967,5984
AK,Alaska,1968,460
AK,Alaska,1969,18
AZ,Arizona,1960,4305
AZ,Arizona,1961,7952
AZ,Arizona,1962,6360
AZ,Arizona,1963,8829
AZ,Arizona,1964,6265
AZ,Arizona,1965,48120
AZ,Arizona,1966,206589
AZ,Arizona,1967,48218
AZ,Arizona,1968,12483
AZ,Arizona,1969,538
AR,Arkansas,1960,1596
AR,Arkansas,1961,1842
AR,Arkansas,1962,1321
AR,Arkansas,1963,1437
AR,Arkansas,1964,1081
AR,Arkansas,1965,47430
AR,Arkansas,1966,36434
AR,Arkansas,1967,64475
AR,Arkansas,1968,601
AR,Arkansas,1969,3
CA,California,1960,22222
CA,California,1961,37112
CA,California,1962,27974
CA,California,1963,20102
CA,California,1964,32483
CA,California,1965,509473
CA,California,1966,546218
CA,California,1967,248578
CA,California,1968,29156
CA,California,1969,894
CO,Colorado,1960,6806
CO,Colorado,1961,3926
CO,Colorado,1962,9216
CO,Colorado,1963,6052
CO,Colorado,1964,3224
CO,Colorado,1965,214478
CO,Colorado,1966,48462
CO,Colorado,1967,76457
CO,Colorado,1968,5073
CO,Colorado,1969,139
CT,Connecticut,1960,11057
CT,Connecticut,1961,6906
CT,Connecticut,1962,17729
CT,Connecticut,1963,5837
CT,Connecticut,1964,5234
CT,Connecticut,1965,380611
CT,Connecticut,1966,32943
CT,Connecticut,1967,24575
CT,Connecticut,1968,21756
CT,Connecticut,1969,634
DE,Delaware,1960,956
DE,Delaware,1961,1701
DE,Delaware,1962,616
DE,Delaware,1963,1189
DE,Delaware,1964,394
DE,Delaware,1965,20876
DE,Delaware,1966,9691
DE,Delaware,1967,2453
DE,Delaware,1968,13486
DE,Delaware,1969,506
FL,Florida,1960,3723
FL,Florida,1961,6759
FL,Florida,1962,4116
FL,Florida,1963,3737
FL,Florida,1964,7019
FL,Florida,1965,132018
FL,Florida,1966,140141
FL,Florida,1967,86152
FL,Florida,1968,22635
FL,Florida,1969,610
GA,Georgia,1960,217
GA,Georgia,1961,415
GA,Georgia,1962,416
GA,Georgia,1963,200
GA,Georgia,1964,211
GA,Georgia,1965,26314
