variety,country,points
Chardonnay,United<br>States,93
Syrah,United<br>States,88
Pinot Noir,United<br>States,87
Pinot Noir,United<br>States,88
Chardonnay,United<br>States,87
Red Blend,United<br>States,88
Sauvignon Blanc,United<br>States,88
Merlot,United<br>States,87
Sauvignon Blanc,United<br>States,87
Cabernet Franc,United<br>States,88
Chardonnay,United<br>States,86
Chardonnay,United<br>States,88
Chardonnay,United<br>States,88
Sangiovese,United<br>States,86
Pinot Noir,United<br>States,88
Pinot Noir,United<br>States,92
Chardonnay,United<br>States,86
Cabernet Sauvignon,United<br>States,86
Vermentino,United<br>States,86
Syrah,United<br>States,93
Syrah,United<br>States,93
Chardonnay,United<br>States,86
Cabernet Sauvignon,United<br>States,86
Malbec,United<br>States,86
Chardonnay,United<br>States,86
Malbec,United<br>States,86
Chardonnay,United<br>States,86
Pinot Noir,United<br>States,93
Pinot Noir,United<br>States,93
Sangiovese-Cabernet Sauvignon,United<br>States,86
Pinot Noir,United<br>States,89
Zinfandel,United<br>States,88
Chardonnay,United<br>States,88
Pinot Meunier,United<br>States,88
Pinot Noir,United<br>States,92
Sauvignon Blanc,United<br>States,88
Chardonnay,United<br>States,92
Rosé,United<br>States,88
Grenache,United<br>States,92
Sauvignon Blanc,United<br>States,88
Pinot Noir,United<br>States,92
Chardonnay,United<br>States,88
Petite Sirah,United<br>States,92
Chardonnay,United<br>States,92
Merlot,United<br>States,88
Pinot Noir,United<br>States,88
Chardonnay,United<br>States,88
Syrah,United<br>States,92
Cabernet Sauvignon,United<br>States,92
Cabernet Sauvignon,United<br>States,90
Cabernet Sauvignon,United<br>States,90
Cabernet Sauvignon,United<br>States,90
Cabernet Sauvignon,United<br>States,90
Rhône-style Red Blend,United<br>States,90
Pinot Noir,United<br>States,90
Pinot Noir,United<br>States,90
Syrah,United<br>States,90
Cabernet Sauvignon,United<br>States,90
Zinfandel,United<br>States,90
Riesling,United<br>States,90
Rhône-style Red Blend,United<br>States,90
Bordeaux-style Red Blend,United<br>States,92
Bordeaux-style White Blend,United<br>States,92
Chardonnay,United<br>States,93
Merlot,United<br>States,89
Pinot Noir,United<br>States,82
Pinot Noir,United<br>States,93
Cabernet Sauvignon,United<br>States,93
Chardonnay,United<br>States,82
Sauvignon Blanc,United<br>States,82
White Blend,United<br>States,83
Grenache,United<br>States,83
Cabernet Sauvignon,United<br>States,83
Zinfandel,United<br>States,83
Pinot Noir,United<br>States,94
