,polarity,points-category
0,0.5709,80-84
1,-0.6471,80-84
2,0.5106,80-84
3,0.3612,80-84
4,0.5106,80-84
5,0.0,80-84
6,0.0,80-84
7,-0.4215,80-84
8,0.0,80-84
9,0.6369,80-84
10,-0.25,80-84
11,0.0,80-84
12,0.7845,80-84
13,0.8176,80-84
14,0.4588,80-84
15,0.4091,80-84
16,0.4939,80-84
17,0.0,80-84
18,0.25,80-84
19,-0.2732,80-84
20,0.4429,80-84
21,0.6306,80-84
22,-0.4497,80-84
23,0.3818,80-84
24,0.8607,80-84
25,0.3612,80-84
26,0.2263,80-84
27,0.0754,80-84
28,0.4939,80-84
29,0.0,80-84
30,0.0,80-84
31,-0.1531,80-84
32,0.8934,80-84
33,0.4704,80-84
34,0.3182,80-84
35,-0.0258,80-84
36,0.5267,80-84
37,-0.128,80-84
38,0.4404,80-84
39,-0.1027,80-84
40,0.0644,80-84
41,-0.5719,80-84
42,0.4215,80-84
43,-0.4791,80-84
44,0.0,80-84
45,0.128,80-84
46,0.0,80-84
47,0.0,80-84
48,0.5106,80-84
49,0.4404,80-84
50,-0.5574,80-84
51,0.4588,80-84
52,0.0,80-84
53,0.0,80-84
54,0.6486,80-84
55,-0.3182,80-84
56,0.3612,80-84
57,0.7574,80-84
58,0.4404,80-84
59,0.5434,80-84
60,-0.4215,80-84
61,0.0,80-84
62,0.0,80-84
63,0.6075,80-84
64,0.0,80-84
65,0.0,80-84
66,-0.3626,80-84
67,0.0,80-84
68,0.1901,80-84
69,0.0,80-84
70,0.3612,80-84
71,0.8097,80-84
72,0.0,80-84
73,0.4404,80-84
74,-0.4692,80-84
75,-0.1531,80-84
76,-0.25,80-84
77,0.2589,80-84
78,0.0,80-84
79,-0.34,80-84
80,0.5106,80-84
81,0.4588,80-84
82,0.6369,80-84
83,0.3612,80-84
84,-0.1027,80-84
85,0.4019,80-84
86,0.3744,80-84
87,0.4404,80-84
88,-0.4939,80-84
89,0.4404,80-84
90,0.6712,80-84
91,-0.3412,80-84
92,-0.1779,80-84
93,0.0,80-84
94,0.0,80-84
95,0.128,80-84
96,-0.5719,80-84
97,0.7351,80-84
98,0.0,80-84
99,-0.128,80-84
100,0.0,80-84
101,-0.4404,80-84
102,0.0516,80-84
103,-0.7003,80-84
104,0.7506,80-84
105,0.4404,80-84
106,0.0,80-84
107,0.4939,80-84
108,-0.128,80-84
109,-0.4973,80-84
110,0.4215,80-84
111,0.0,80-84
112,0.5106,80-84
113,0.4654,80-84
114,0.5267,80-84
115,-0.09,80-84
116,-0.3708,80-84
117,0.0,80-84
118,-0.3182,80-84
119,-0.0772,80-84
120,0.5994,80-84
121,0.0,80-84
122,-0.4019,80-84
123,-0.4047,80-84
124,0.25,80-84
125,0.7722,80-84
126,0.4588,80-84
127,0.6527,80-84
128,0.4404,80-84
129,-0.1531,80-84
130,-0.1779,80-84
131,-0.4137,80-84
132,-0.6814,80-84
133,0.0,80-84
134,0.0,80-84
135,0.0,80-84
136,-0.7096,80-84
137,0.598,80-84
138,-0.4019,80-84
139,-0.1779,80-84
140,-0.5499,80-84
141,0.0258,80-84
142,0.6597,80-84
143,0.4404,80-84
144,0.29600000000000004,80-84
145,0.25,80-84
146,0.6908,80-84
147,0.9059,80-84
148,0.4215,80-84
149,0.4767,80-84
150,0.0,80-84
151,0.7096,80-84
152,0.0,80-84
153,0.2023,80-84
154,0.0,80-84
155,-0.3182,80-84
156,0.2584,80-84
157,0.8074,80-84
158,0.0,80-84
159,0.29600000000000004,80-84
160,0.0,80-84
161,0.0,80-84
162,-0.25,80-84
163,0.2732,80-84
164,0.29600000000000004,80-84
165,0.2023,80-84
166,0.0,80-84
167,-0.6573,80-84
168,0.0,80-84
169,-0.3182,80-84
170,0.8442,80-84
171,0.4939,80-84
172,0.0,80-84
173,0.0258,80-84
174,0.9169,80-84
175,0.3321,80-84
176,0.0258,80-84
177,0.3182,80-84
178,0.1779,80-84
179,0.1531,80-84
180,0.5423,80-84
181,-0.4215,80-84
182,0.2263,80-84
183,0.0,80-84
184,0.1779,80-84
185,0.0,80-84
186,0.5754,80-84
187,0.0,80-84
188,-0.1419,80-84
189,0.6597,80-84
190,0.0,80-84
191,-0.34,80-84
192,0.4404,80-84
193,0.7783,80-84
194,0.0,80-84
195,-0.35700000000000004,80-84
196,0.5719,80-84
197,0.0,80-84
198,0.4939,80-84
199,-0.2023,80-84
200,0.0,80-84
201,0.4588,80-84
202,0.0,80-84
203,0.0,80-84
204,-0.2975,80-84
205,0.4215,80-84
206,0.0516,80-84
207,-0.6151,80-84
208,0.0,80-84
209,-0.4019,80-84
210,0.0,80-84
211,0.0,80-84
212,-0.1406,80-84
213,-0.3612,80-84
214,0.0,80-84
215,0.0,80-84
216,0.8937,80-84
217,0.0,80-84
218,0.8266,80-84
219,0.3612,80-84
220,0.0,80-84
221,0.0,80-84
222,0.0,80-84
223,-0.1761,80-84
224,-0.3182,80-84
225,0.0,80-84
226,0.4588,80-84
227,0.4927,80-84
228,0.0,80-84
229,0.4404,80-84
230,0.6597,80-84
231,0.8822,80-84
232,0.0,80-84
233,0.0,80-84
234,0.4588,80-84
235,0.8096,80-84
236,0.0,80-84
237,0.1469,80-84
238,-0.2144,80-84
239,0.0,80-84
240,0.4019,80-84
241,-0.0772,80-84
242,-0.1531,80-84
243,0.6486,80-84
244,0.0,80-84
245,0.05,80-84
246,0.0,80-84
247,0.0,80-84
248,0.8522,80-84
249,0.0,80-84
250,0.8957,80-84
251,0.8779,80-84
252,0.3612,80-84
253,0.0,80-84
254,0.6808,80-84
255,0.6901,80-84
256,-0.1531,80-84
257,0.4588,80-84
258,0.765,80-84
259,-0.3291,80-84
260,0.0,80-84
261,0.0,80-84
262,0.3612,80-84
263,-0.6486,80-84
264,-0.5106,80-84
265,0.0,80-84
266,0.2144,80-84
267,0.0,80-84
268,0.0,80-84
269,0.5744,80-84
270,-0.0516,80-84
271,-0.1531,80-84
272,0.5574,80-84
273,0.1027,80-84
274,0.872,80-84
275,0.4588,80-84
276,0.0,80-84
277,0.4118,80-84
278,-0.3182,80-84
279,0.5423,80-84
280,0.9001,80-84
281,0.0,80-84
282,0.3716,80-84
283,-0.0258,80-84
284,0.8,80-84
285,0.7003,80-84
286,0.0,80-84
287,0.0,80-84
288,0.4939,80-84
