,P-Africa,R-Africa,P-Asia,R-Asia,P-Europe,R-Europe,P-North America,R-North America,P-Oceania,R-Oceania,P-South America,R-South America
0,0.8248,91.0,0.8442,90.0,0.6486,87.0,-0.128,87,0.4767,86.0,0.4404,87.0
1,0.2111,91.0,0.6652,90.0,0.1655,87.0,0.34,87,0.8519,86.0,0.5927,87.0
2,0.5719,91.0,0.5859,88.0,0.6369,87.0,0.8176,87,0.5106,92.0,0.5994,86.0
3,0.8555,90.0,0.5106,88.0,0.0,87.0,0.8176,87,0.8402,88.0,0.0,86.0
4,0.4576,90.0,0.4767,85.0,0.9091,87.0,0.5574,87,0.2492,87.0,-0.0891,85.0
5,0.8658,90.0,0.4588,86.0,0.7506,87.0,0.1624,87,0.3919,85.0,0.3182,85.0
6,0.8074,90.0,0.0,86.0,0.4939,87.0,0.6124,87,0.2263,85.0,-0.4588,86.0
7,0.5574,90.0,0.8271,85.0,0.7506,87.0,0.0,87,0.8807,85.0,0.4404,87.0
8,0.8658,89.0,0.8402,87.0,0.0772,87.0,0.5719,87,0.5859,92.0,0.296,91.0
9,-0.128,89.0,0.8402,86.0,0.7269,87.0,-0.3182,87,0.6486,87.0,0.7845,91.0
10,0.8873,89.0,0.2382,90.0,0.0,87.0,0.4019,87,0.8259,100.0,0.9025,91.0
11,0.8591,89.0,0.8225,87.0,0.743,87.0,0.7964,86,0.9423,98.0,0.8705,88.0
12,0.4939,89.0,0.886,87.0,0.0,87.0,0.0,86,0.882,97.0,0.9313,88.0
13,0.8271,87.0,0.0,84.0,0.4215,87.0,0.0,86,0.455,97.0,0.9337,88.0
14,0.8555,87.0,0.3818,88.0,0.3818,86.0,0.6293,86,0.8316,95.0,0.9144,88.0
15,0.2732,92.0,0.4404,89.0,0.0,86.0,-0.0772,86,0.6597,95.0,0.9413,87.0
16,0.9313,91.0,0.34,88.0,0.8173,86.0,0.7845,86,0.7964,95.0,0.4215,90.0
17,0.4767,91.0,0.4404,87.0,0.0258,86.0,0.2732,86,0.7351,92.0,0.0,85.0
18,0.5267,85.0,0.0,91.0,0.4588,86.0,0.7269,86,0.7351,92.0,0.5927,85.0
