State,Cases_2010,Cases_2011,Cases_2012,Cases_2013,Cases_2014,Cases_2015,Cases_2016,Cases_2017,TotalByState,Rate_2010,Rate_2011,Rate_2012,Rate_2013,Rate_2014,Rate_2015,Rate_2016,Rate_2017
ALABAMA,2.0,0.0,7.0,0.0,2.0,5.0,9.0,26.0,51.0,0.0006477826409915599,0.0,0.00226723924347046,0.0,0.0006477826409915599,0.0016194566024788997,0.0029150218844620195,0.008421174332890278
ALASKA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARIZONA,58.0,20.0,10.0,2.0,24.0,35.0,19.0,18.0,186.0,0.018785696588755233,0.006477826409915599,0.0032389132049577994,0.0006477826409915599,0.007773391691898718,0.011336196217352297,0.006153935089419818,0.005830043768924039
ARKANSAS,1.0,0.0,2.0,0.0,2.0,2.0,3.0,3.0,13.0,0.00032389132049577996,0.0,0.0006477826409915599,0.0,0.0006477826409915599,0.0006477826409915599,0.0009716739614873398,0.0009716739614873398
CALIFORNIA,38.0,45.0,135.0,6.0,251.0,186.0,89.0,133.0,883.0,0.012307870178839636,0.014575109422310098,0.04372532826693029,0.0019433479229746795,0.08129672144444076,0.060243785612215064,0.028826327524124413,0.04307754562593873
COLORADO,55.0,5.0,228.0,5.0,69.0,44.0,90.0,39.0,535.0,0.017814022627267896,0.0016194566024788997,0.07384722107303782,0.0016194566024788997,0.022348501114208816,0.014251218101814317,0.029150218844620195,0.012631761499335417
CONNECTICUT,1.0,1.0,3.0,0.0,3.0,2.0,0.0,1.0,11.0,0.00032389132049577996,0.00032389132049577996,0.0009716739614873398,0.0,0.0009716739614873398,0.0006477826409915599,0.0,0.00032389132049577996
DELAWARE,2.0,0.0,7.0,0.0,0.0,6.0,0.0,1.0,16.0,0.0006477826409915599,0.0,0.00226723924347046,0.0,0.0,0.0019433479229746795,0.0,0.00032389132049577996
DISTRICT OF COLUMBIA,1.0,10.0,2.0,1.0,2.0,1.0,0.0,3.0,20.0,0.00032389132049577996,0.0032389132049577994,0.0006477826409915599,0.00032389132049577996,0.0006477826409915599,0.00032389132049577996,0.0,0.0009716739614873398
FLORIDA,3.0,3.0,1.0,0.0,4.0,0.0,1.0,0.0,12.0,0.0009716739614873398,0.0009716739614873398,0.00032389132049577996,0.0,0.0012955652819831198,0.0,0.00032389132049577996,0.0
GEORGIA,9.0,5.0,4.0,0.0,2.0,2.0,1.0,7.0,30.0,0.0029150218844620195,0.0016194566024788997,0.0012955652819831198,0.0,0.0006477826409915599,0.0006477826409915599,0.00032389132049577996,0.00226723924347046
HAWAII,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0032389132049577994,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IDAHO,1.0,1.0,26.0,0.0,13.0,8.0,5.0,11.0,65.0,0.00032389132049577996,0.00032389132049577996,0.008421174332890278,0.0,0.004210587166445139,0.0025911305639662397,0.0016194566024788997,0.0035628045254535792
ILLINOIS,17.0,12.0,31.0,0.0,13.0,28.0,152.0,20.0,273.0,0.005506152448428258,0.003886695845949359,0.010040630935369178,0.0,0.004210587166445139,0.00906895697388184,0.049231480715358544,0.006477826409915599
INDIANA,7.0,2.0,4.0,0.0,1.0,5.0,3.0,10.0,32.0,0.00226723924347046,0.0006477826409915599,0.0012955652819831198,0.0,0.00032389132049577996,0.0016194566024788997,0.0009716739614873398,0.0032389132049577994
IOWA,4.0,4.0,20.0,3.0,10.0,10.0,23.0,2.0,76.0,0.0012955652819831198,0.0012955652819831198,0.006477826409915599,0.0009716739614873398,0.0032389132049577994,0.0032389132049577994,0.007449500371402939,0.0006477826409915599
KANSAS,14.0,0.0,52.0,0.0,33.0,21.0,19.0,15.0,154.0,0.00453447848694092,0.0,0.016842348665780556,0.0,0.010688413576360738,0.006801717730411379,0.006153935089419818,0.004858369807436699
